Id, NetworkId, MNC, TAPCode
499, 200, 1, 'MARM1'
500, 245, 0, 'MARMT'
501, 525, 2, 'MARM3'
502, 525, 5, NULL
503, 325, 1, NULL
504, 329, 3, NULL
505, 478, 2, NULL
506, 6, 1, 'LBY01'
507, 228, 0, 'LBYLM'
508, 4, 2, 'GMBAC'
509, 98, 3, 'GMBCM'
510, 350, 4, 'GMBQC'
511, 357, 2, NULL
512, 376, 1, NULL
513, 384, 3, NULL
514, 241, 1, 'MRTMT'
515, 238, 1, 'MLI01'
516, 318, 2, 'MLI02'
517, 16, 4, 'GINAG'
518, 69, 5, 'GIN07'
519, 203, 3, 'GIN03'
520, 24, 2, 'CIV02'
522, 313, 3, 'CIV03'
523, 74, 2, 'BFACT'
524, 416, 3, 'BFATL'
525, 463, 1, 'BFAON'
526, 81, 2, NULL
527, 320, 4, NULL
528, 417, 3, NULL
529, 418, 3, NULL
530, 472, 1, NULL
531, 158, 2, 'BEN02'
533, 226, 1, 'BENLI'
534, 71, 1, 'MUSCP'
535, 150, 10, 'MUSEM'
537, 70, 3, NULL
538, 70, 7, 'LBR07'
539, 100, 4, 'LBRCM'
540, 231, 1, NULL
541, 72, 1, NULL
544, 229, 5, NULL
545, 173, 2, 'GHAGT'
546, 175, 7, NULL
547, 175, 620, NULL
548, 175, 997, NULL
549, 252, 3, 'GHAMT'
550, 356, 1, 'GHASC'
551, 539, 6, 'GHAZN'
552, 82, 20, NULL
553, 145, 60, NULL
554, 176, 50, NULL
555, 73, 1, 'TCDCT'
556, 254, 3, 'TCDML'
557, 23, 1, 'CAFAT'
558, 278, 1, 'CMRMT'
559, 312, 2, 'CMR02'
560, 117, 1, 'CPVCV'
561, 389, 2, 'CPVTM'
562, 172, 1, 'GNQ01'
563, 188, 3, 'GNQHT'
564, 227, 2, 'GABTL'
565, 77, 3, 'GABCT'
566, 227, 1, 'GAB01'
567, 76, 1, 'COGCT'
568, 279, 10, 'COGLB'
569, 75, 2, 'CODCT'
570, 502, 1, 'CODVC'
571, 492, 2, 'AGOUT'
572, 311, 3, 'GNB03'
573, 379, 2, 'GNBSB'
574, 47, 1, NULL
575, 421, 10, NULL
576, 267, 1, NULL
577, 267, 6, NULL
578, 282, 2, NULL
579, 467, 13, NULL
580, 155, 1, 'ETH01'
581, 78, 3, 'KENKC'
582, 78, 5, 'KENEC'
583, 354, 2, 'KENSA'
584, 461, 7, 'KENTK'
585, 83, 5, NULL
586, 251, 2, NULL
587, 505, 4, NULL
588, 541, 3, NULL
589, 84, 1, NULL
590, 284, 10, NULL
591, 326, 14, NULL
592, 486, 11, NULL
593, 84, 22, NULL
594, 142, 1, 'BDIET'
595, 222, 7, NULL
596, 142, 82, 'BDITL'
597, 270, 1, 'MOZ01'
598, 501, 4, 'MOZVC'
599, 85, 1, NULL
600, 276, 2, NULL
601, 540, 3, NULL
602, 80, 1, 'MDGCO'
603, 317, 2, 'MDGAN'
604, 462, 4, 'MDGTM'
605, 141, 4, NULL
606, 287, 1, NULL
607, 419, 3, NULL
608, 273, 1, 'NAM01'
609, 340, 3, 'NAM03'
610, 79, 10, 'MWICT'
611, 444, 1, 'MWICP'
612, 504, 1, 'LSOVL'
613, 44, 4, 'BWABC'
614, 240, 1, 'BWAGA'
615, 68, 7, NULL
616, 503, 1, NULL
617, 288, 4, NULL
620, 281, 2, NULL
621, 37, 67, 'BLZ67'
622, 97, 2, 'GTMCM'
623, 438, 3, 'GTMTG'
624, 113, 1, 'SLVTP'
625, 133, 2, 'SLVDC'
626, 436, 4, NULL
