0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:15 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:15 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:15 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:17 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:30 +0200] "GET /my-starter-project/ HTTP/1.1" 200 22045
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:30 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:30 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:30 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:32 +0200] "GET /my-starter-project/users HTTP/1.1" 200 22085
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:32 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:12:34 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:16:16 +0200] "GET /my-starter-project/home HTTP/1.1" 404 16510
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:16:16 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:16:16 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:16:16 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:16:16 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:16:18 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:19:19 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:19:19 +0200] "GET /my-starter-project/beverages HTTP/1.1" 200 22084
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:19:19 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:19:19 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:19:19 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:19:21 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:20:43 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=10 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:20:43 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:20:44 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=10 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:20:45 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=10 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:21:20 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=10 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:24:21 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:24:21 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:24:22 +0200] "GET /my-starter-project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:24:23 +0200] "GET /my-starter-project/ HTTP/1.1" 200 22046
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:24:23 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:24:23 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:24:23 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-b5b537a5be577a7f4d67.cache.js HTTP/1.1" 200 4893170
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:24:24 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:29:22 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=10 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Oct/2019:11:29:22 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
