0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:38:58 +0200] "POST /my-starter-project/?v-r=heartbeat&v-uiId=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:38:58 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:45 +0200] "GET /my-starter-project/beverages HTTP/1.1" 200 149804
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:45 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:45 +0200] "GET /my-starter-project/VAADIN/build/webcomponentsjs/webcomponents-loader.js HTTP/1.1" 200 6272
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:45 +0200] "GET /my-starter-project/VAADIN/static/client/client-59E69D05DF6B41AFC722309793280A0E.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:45 +0200] "GET /my-starter-project/VAADIN/build/vaadin-bundle-ef8bffb19c65190cfcd0.cache.js HTTP/1.1" 200 4794003
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:45 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:47 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:48 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:48 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:49 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 57315
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:49 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:51 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 53040
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:51 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:52 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:54 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 37350
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:54 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:56 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 20201
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:42:56 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:48 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 53685
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:48 +0200] "GET /my-starter-project/sw.js HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:48 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:49 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 55422
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:50 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [09/Sep/2019:10:44:50 +0200] "POST /my-starter-project/?v-r=uidl&v-uiId=5 HTTP/1.1" 200 5129
